area__rucc,area__urban_influence,econ__economic_typology,econ__pct_civilian_labor,econ__pct_unemployment,econ__pct_uninsured_adults,econ__pct_uninsured_children,demo__pct_female,demo__pct_below_18_years_of_age,demo__pct_aged_65_years_and_older,demo__pct_hispanic,demo__pct_non_hispanic_african_american,demo__pct_non_hispanic_white,demo__pct_american_indian_or_alaskan_native,demo__pct_asian,demo__pct_adults_less_than_a_high_school_diploma,demo__pct_adults_with_high_school_diploma,demo__pct_adults_with_some_college,demo__pct_adults_bachelors_or_higher,demo__birth_rate_per_1k,demo__death_rate_per_1k,health__pct_adult_obesity,health__pct_adult_smoking,health__pct_diabetes,health__pct_low_birthweight,health__pct_excessive_drinking,health__pct_physical_inacticity,health__air_pollution_particulate_matter,health__motor_vehicle_crash_deaths_per_100k,health__pop_per_dentist,health__pop_per_primary_care_physician,yr,poverty_rate
Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Manufacturing-dependent,0.473,0.047,0.297,0.154,0.495,0.245,0.175,0.245,0.08800000000000001,0.642,0.006,0.003,0.159880834,0.296921549,0.337636544,0.20556107199999998,13,9,0.28,0.188,0.11599999999999999,0.07200000000000001,0.18899999999999997,0.27399999999999997,9.0,25.49,4800.0,5719.0,year 1,12.4
"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Micropolitan not adjacent to a metro area,Nonspecialized,0.475,0.038,0.262,0.11599999999999999,0.502,0.293,0.145,0.049,0.006999999999999999,0.924,0.01,0.0,0.24925816,0.372898121,0.23837784399999998,0.139465875,17,10,0.319,0.231,0.12,0.063,0.156,0.313,14.0,17.7,4049.0,2290.0,year 1,13.6
"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",Recreation,0.5479999999999999,0.08900000000000001,0.20199999999999999,0.132,0.489,0.266,0.179,0.045,0.0,0.912,0.019,0.016,0.080889788,0.34580384200000003,0.376137513,0.197168857,12,13,0.248,0.21364882697947216,0.08800000000000001,0.08199999999999999,0.16469557362240286,0.261,9.0,21.14602162162162,2629.0,2570.0,year 2,12.3
Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Manufacturing-dependent,0.522,0.045,0.193,0.05,0.506,0.22,0.11699999999999999,0.087,0.027999999999999997,0.725,0.02,0.096,0.078867543,0.24064711800000002,0.37007077899999996,0.31041456,13,7,0.285,0.15,0.09,0.059000000000000004,0.179,0.18,11.0,7.47,1569.0,1899.0,year 1,9.8
"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a small metro area,Nonspecialized,0.45899999999999996,0.08199999999999999,0.266,0.08800000000000001,0.485,0.259,0.133,0.24,0.005,0.6890000000000001,0.043,0.012,0.161322645,0.291583166,0.38176352700000005,0.165330661,14,8,0.337,0.212,0.092,0.045,0.149,0.24100000000000002,10.0,13.97,1970.0,1870.0,year 2,19.2
"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",Nonspecialized,0.5770000000000001,0.04,0.174,0.047,0.498,0.228,0.20199999999999999,0.087,0.008,0.883,0.022000000000000002,0.005,0.104887984,0.348268839,0.389002037,0.157841141,11,11,0.319,0.201,0.10800000000000001,0.071,0.285,0.284,12.0,21.14602162162162,2119.0,1679.0,year 2,11.0
"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.49200000000000005,0.07400000000000001,0.142,0.053,0.509,0.205,0.187,0.075,0.027000000000000003,0.875,0.0,0.015,0.11457286400000001,0.389949749,0.275376884,0.220100503,10,12,0.29600000000000004,0.248,0.111,0.068,0.203,0.318,12.0,12.24,1750.0,1250.0,year 2,15.9
"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Recreation,0.488,0.057,0.22899999999999998,0.081,0.5,0.203,0.14400000000000002,0.081,0.015,0.809,0.032,0.04,0.08862034199999999,0.23162134899999998,0.359516616,0.32024169199999997,11,7,0.249,0.138,0.079,0.049,0.17,0.168,12.0,8.99,1550.0,1169.0,year 2,15.0
Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.581,0.033,0.086,0.038,0.509,0.248,0.11,0.099,0.035,0.738,0.0,0.09300000000000001,0.019487179,0.072820513,0.11282051300000001,0.794871795,13,6,0.264,0.21364882697947216,0.099,0.078,0.16469557362240286,0.22899999999999998,13.0,17.82,339.0,330.0,year 2,3.1
"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan not adjacent to a metro area,Nonspecialized,0.45,0.066,0.34600000000000003,0.11,0.518,0.244,0.134,0.094,0.315,0.564,0.001,0.009000000000000001,0.205050505,0.335353535,0.28989899,0.16969697,14,10,0.322,0.16899999999999998,0.139,0.109,0.08,0.306,12.0,23.52,2500.0,1180.0,year 2,28.9
"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Micropolitan adjacent to a small metro area,Nonspecialized,0.39799999999999996,0.047,0.307,0.136,0.494,0.237,0.166,0.052000000000000005,0.013999999999999999,0.738,0.14,0.0,0.157416751,0.339051463,0.295660949,0.207870838,14,12,0.325,0.26899999999999996,0.122,0.08,0.084,0.292,10.0,25.89,2779.0,2529.0,year 2,20.0
"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Mining-dependent,0.44299999999999995,0.06,0.284,0.063,0.515,0.28,0.13699999999999998,0.034,0.322,0.599,0.011000000000000001,0.025,0.228052472,0.425832492,0.22098890000000002,0.125126135,14,10,0.368,0.201,0.132,0.111,0.132,0.345,11.0,25.97,2490.0,1880.0,year 2,19.3
"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Recreation,0.456,0.053,0.196,0.07400000000000001,0.496,0.195,0.2,0.003,0.0,0.983,0.0,0.0,0.09638554199999999,0.48293172700000003,0.26606425699999997,0.154618474,7,9,0.321,0.21364882697947216,0.096,0.083,0.16469557362240286,0.256,13.0,26.66,2599.0,5210.0,year 1,11.9
"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.498,0.043,0.16899999999999998,0.071,0.512,0.248,0.184,0.11800000000000001,0.026000000000000002,0.836,0.018000000000000002,0.008,0.096839959,0.29459735,0.340468909,0.268093782,12,10,0.33,0.092,0.096,0.068,0.099,0.26899999999999996,10.0,18.3,1729.0,1159.0,year 1,8.9
"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Manufacturing-dependent,0.473,0.044000000000000004,0.32,0.152,0.494,0.341,0.125,0.036000000000000004,0.009000000000000001,0.955,0.004,0.006,0.37688442200000005,0.32160804,0.191959799,0.109547739,20,7,0.327,0.19399999999999998,0.107,0.051,0.111,0.25,13.0,20.21,4199.0,3390.0,year 2,10.7
"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",Recreation,0.7829999999999999,0.11699999999999999,0.21775297805642635,0.08600689655172412,0.4987683385579937,0.22773699059561128,0.1701965517241379,0.09030940438871474,0.09125047021943573,0.7700097178683386,0.024695297805642634,0.01325548589341693,0.026812314,0.28897716,0.322740814,0.36146971200000005,8,2,0.3077028213166144,0.21364882697947216,0.10933949843260188,0.0835641196013289,0.16469557362240286,0.27744639498432605,11.626422250316056,21.14602162162162,2694.5,1999.5,year 2,2.5
Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.442,0.069,0.20199999999999999,0.07400000000000001,0.51,0.23,0.16699999999999998,0.025,0.08,0.856,0.009000000000000001,0.002,0.12714429900000002,0.39858728600000004,0.303733602,0.170534813,11,11,0.374,0.293,0.126,0.08900000000000001,0.182,0.33299999999999996,13.0,13.92,2160.0,1870.0,year 2,16.4
"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a small metro area,Nonspecialized,0.489,0.055,0.138,0.033,0.501,0.198,0.18100000000000002,0.027000000000000003,0.065,0.9,0.005,0.011000000000000001,0.101377953,0.40649606299999996,0.265748031,0.22637795300000002,11,10,0.311,0.2,0.111,0.098,0.24,0.295,12.0,15.22,2189.0,2930.0,year 1,15.2
"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a large metro area,Nonspecialized,0.475,0.05,0.16399999999999998,0.043,0.505,0.22399999999999998,0.161,0.022000000000000002,0.005,0.94,0.0,0.005,0.082906858,0.378710338,0.386898669,0.151484135,11,10,0.359,0.214,0.08800000000000001,0.08,0.195,0.209,12.0,13.47,2290.0,2229.0,year 1,12.7
"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",Nonspecialized,0.358,0.127,0.34,0.10099999999999999,0.513,0.267,0.142,0.013999999999999999,0.713,0.264,0.009000000000000001,0.011000000000000001,0.349238579,0.304568528,0.23248731,0.113705584,15,10,0.444,0.14400000000000002,0.172,0.13699999999999998,0.16469557362240286,0.35700000000000004,13.0,37.65,5689.0,5670.0,year 2,31.6
"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Micropolitan adjacent to a large metro area,Manufacturing-dependent,0.527,0.051,0.20800000000000002,0.08900000000000001,0.49700000000000005,0.256,0.14300000000000002,0.023,0.0,0.958,0.0,0.006999999999999999,0.121687929,0.44357213,0.26889107,0.165848871,13,10,0.28300000000000003,0.221,0.11,0.087,0.114,0.285,13.0,25.21,4399.0,2880.0,year 2,12.7
"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",Federal/State government-dependent,0.484,0.062,0.261,0.095,0.494,0.24100000000000002,0.193,0.563,0.001,0.41200000000000003,0.009000000000000001,0.016,0.231527094,0.311330049,0.315270936,0.14187192099999998,12,9,0.264,0.21364882697947216,0.092,0.069,0.16469557362240286,0.242,10.0,21.14602162162162,659.0,1999.5,year 1,25.4
"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",Nonspecialized,0.5379999999999999,0.027000000000000003,0.163,0.068,0.433,0.187,0.195,0.051,0.05,0.8740000000000001,0.005,0.0,0.10946745599999999,0.32642998,0.35897435899999997,0.205128205,8,13,0.344,0.124,0.10400000000000001,0.040999999999999995,0.146,0.27899999999999997,11.0,21.14602162162162,3729.0,2159.0,year 2,12.5
"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a large metro area,Federal/State government-dependent,0.428,0.07,0.214,0.07400000000000001,0.505,0.221,0.142,0.039,0.37200000000000005,0.561,0.002,0.0,0.167676768,0.297979798,0.343434343,0.190909091,13,10,0.337,0.344,0.129,0.105,0.147,0.28800000000000003,12.0,11.0,2889.0,1839.0,year 2,18.3
"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area",Small-in a metro area with fewer than 1 million residents,Recreation,0.38799999999999996,0.08900000000000001,0.179,0.06,0.48200000000000004,0.14,0.321,0.003,0.002,0.966,0.011000000000000001,0.005,0.08224674,0.40922768299999995,0.36108325,0.14744232699999998,4,20,0.345,0.21364882697947216,0.138,0.043,0.16469557362240286,0.233,10.0,25.04,2100.0,3200.0,year 1,14.5
"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",Farm-dependent,0.39399999999999996,0.08900000000000001,0.28,0.076,0.461,0.22,0.127,0.055999999999999994,0.561,0.364,0.0,0.003,0.35135135100000003,0.326326326,0.242242242,0.08008008,11,10,0.386,0.19399999999999998,0.124,0.17300000000000001,0.087,0.33899999999999997,12.0,43.0,5839.0,5099.0,year 2,37.8
"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.387,0.078,0.285,0.11900000000000001,0.52,0.188,0.27,0.11,0.11,0.7290000000000001,0.003,0.015,0.14370664,0.35877106,0.32011893,0.17740337,10,14,0.32,0.21,0.122,0.08800000000000001,0.147,0.27399999999999997,11.0,21.93,2879.0,1830.0,year 2,17.7
"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Recreation,0.483,0.054000000000000006,0.231,0.121,0.48,0.18899999999999997,0.213,0.042,0.001,0.932,0.011000000000000001,0.0,0.065656566,0.283838384,0.350505051,0.3,8,7,0.23,0.18100000000000002,0.079,0.062,0.171,0.209,10.0,20.44,1369.0,560.0,year 1,10.3
"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Micropolitan not adjacent to a metro area,Nonspecialized,0.532,0.051,0.20600000000000002,0.068,0.5,0.214,0.161,0.04,0.004,0.932,0.0,0.004,0.054108215999999994,0.274549098,0.383767535,0.28757515,12,10,0.262,0.18600000000000003,0.079,0.077,0.182,0.207,10.0,16.34,1169.0,1269.0,year 2,10.1
"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.547,0.032,0.08900000000000001,0.063,0.51,0.251,0.125,0.047,0.053,0.8270000000000001,0.004,0.053,0.058350100999999994,0.204225352,0.32394366199999997,0.413480885,15,7,0.235,0.12,0.076,0.066,0.151,0.212,12.0,9.44,1330.0,409.0,year 2,10.5
"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Mining-dependent,0.371,0.105,0.251,0.10400000000000001,0.505,0.2,0.177,0.018000000000000002,0.41100000000000003,0.5529999999999999,0.0,0.003,0.313447927,0.389282103,0.20020222399999998,0.097067745,10,14,0.322,0.21364882697947216,0.152,0.131,0.16469557362240286,0.314,13.0,40.16,2694.5,8769.0,year 2,27.5
"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",Farm-dependent,0.42200000000000004,0.073,0.304,0.124,0.467,0.215,0.184,0.037000000000000005,0.05,0.652,0.179,0.012,0.20850202399999998,0.377530364,0.296558704,0.11740890699999999,11,13,0.361,0.365,0.141,0.07200000000000001,0.16469557362240286,0.348,10.0,35.53,2759.0,2760.0,year 1,20.7
"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Manufacturing-dependent,0.43799999999999994,0.047,0.177,0.06,0.484,0.256,0.156,0.013999999999999999,0.004,0.9540000000000001,0.0,0.0,0.11425781300000001,0.465820313,0.302734375,0.1171875,16,9,0.342,0.19699999999999998,0.106,0.07,0.16469557362240286,0.298,14.0,28.99,1729.0,1999.5,year 1,14.7
"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a large metro area,Manufacturing-dependent,0.43200000000000005,0.077,0.212,0.051,0.514,0.225,0.156,0.015,0.314,0.642,0.013000000000000001,0.0,0.20260782300000002,0.360080241,0.30491474399999996,0.132397192,11,12,0.37799999999999995,0.222,0.145,0.125,0.114,0.35200000000000004,13.0,22.67,3849.0,3140.0,year 2,23.0
"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",Federal/State government-dependent,0.316,0.052000000000000005,0.267,0.14,0.39,0.18600000000000003,0.13,0.389,0.11800000000000001,0.48,0.012,0.013999999999999999,0.25638506899999997,0.33300589399999997,0.291748527,0.118860511,10,9,0.282,0.21364882697947216,0.099,0.069,0.16469557362240286,0.253,10.0,30.55,4699.0,4660.0,year 1,20.3
"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Noncore adjacent to a large metro area,Recreation,0.389,0.094,0.271,0.11599999999999999,0.507,0.21,0.196,0.064,0.26,0.662,0.005,0.004,0.160768453,0.39332659299999995,0.277047523,0.168857432,11,11,0.32,0.158,0.14800000000000002,0.1,0.16469557362240286,0.255,13.0,22.15,5340.0,4259.0,year 2,19.5
"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.5539999999999999,0.055,0.098,0.07400000000000001,0.49,0.21899999999999997,0.22399999999999998,0.025,0.001,0.966,0.0,0.006999999999999999,0.091816367,0.35429141700000005,0.342315369,0.211576846,9,16,0.303,0.21364882697947216,0.10300000000000001,0.032,0.16469557362240286,0.262,11.0,21.14602162162162,2250.0,1999.5,year 1,10.4
"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore adjacent to a small metro and does not contain a town of at least 2,500 residents",Federal/State government-dependent,0.441,0.059000000000000004,0.28300000000000003,0.114,0.45399999999999996,0.217,0.13,0.141,0.35700000000000004,0.47100000000000003,0.028999999999999998,0.009000000000000001,0.25602409600000003,0.313253012,0.325301205,0.10542168699999999,10,10,0.32299999999999995,0.21364882697947216,0.12,0.11900000000000001,0.16469557362240286,0.272,12.0,22.28,2969.0,10770.0,year 2,28.5
"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.39399999999999996,0.027000000000000003,0.43799999999999994,0.285,0.51,0.225,0.243,0.27399999999999997,0.021,0.688,0.003,0.003,0.24291498,0.258097166,0.285425101,0.213562753,7,11,0.289,0.21364882697947216,0.126,0.11800000000000001,0.16469557362240286,0.27899999999999997,9.0,21.14602162162162,2694.5,1999.5,year 1,16.3
"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.43200000000000005,0.054000000000000006,0.265,0.076,0.501,0.248,0.126,0.049,0.23399999999999999,0.659,0.004,0.03,0.1444333,0.292878636,0.355065196,0.207622869,14,9,0.327,0.264,0.127,0.10099999999999999,0.16,0.289,12.0,19.64,1410.0,1899.0,year 1,22.3
"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Manufacturing-dependent,0.451,0.046,0.33,0.095,0.516,0.228,0.204,0.128,0.008,0.828,0.01,0.013000000000000001,0.168168168,0.35035035,0.314314314,0.167167167,11,11,0.28300000000000003,0.24,0.11900000000000001,0.06,0.098,0.302,11.0,28.31,3969.0,1709.0,year 2,17.5
Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.521,0.048,0.069,0.013999999999999999,0.526,0.215,0.157,0.184,0.022000000000000002,0.7490000000000001,0.011000000000000001,0.034,0.10285132400000001,0.252545825,0.259674134,0.38492871700000003,11,9,0.243,0.14400000000000002,0.10099999999999999,0.085,0.184,0.205,10.0,4.52,1220.0,1289.0,year 1,11.7
Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.43799999999999994,0.062,0.203,0.067,0.504,0.233,0.14,0.023,0.021,0.9390000000000001,0.0,0.004,0.180295567,0.470935961,0.24137931,0.10738916300000001,13,11,0.32799999999999996,0.237,0.106,0.075,0.16469557362240286,0.35100000000000003,14.0,27.03,3849.0,1589.0,year 2,14.3
Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.512,0.06,0.11800000000000001,0.043,0.515,0.195,0.2,0.001,0.022000000000000002,0.945,0.01,0.006,0.067278287,0.383282365,0.280326198,0.26911315,9,12,0.284,0.177,0.11800000000000001,0.08199999999999999,0.156,0.271,14.0,13.08,1660.0,1309.0,year 2,10.7
Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.449,0.057999999999999996,0.261,0.091,0.501,0.237,0.154,0.084,0.162,0.728,0.012,0.01,0.17558022199999998,0.328960646,0.320887992,0.17457114,12,11,0.342,0.251,0.13699999999999998,0.096,0.10300000000000001,0.307,13.0,16.7,2599.0,2420.0,year 1,17.6
"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.552,0.022000000000000002,0.156,0.10099999999999999,0.5,0.209,0.266,0.027999999999999997,0.0,0.963,0.011000000000000001,0.0,0.070506455,0.42403177799999997,0.334657398,0.17080436899999998,12,11,0.294,0.13,0.094,0.071,0.19899999999999998,0.32899999999999996,11.0,21.14602162162162,1469.0,879.0,year 1,12.9
"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area",Small-in a metro area with fewer than 1 million residents,Farm-dependent,0.5539999999999999,0.025,0.222,0.115,0.491,0.263,0.17600000000000002,0.152,0.01,0.8170000000000001,0.012,0.004,0.138613861,0.313861386,0.320792079,0.226732673,13,13,0.31,0.21100000000000002,0.107,0.057,0.16469557362240286,0.262,12.0,21.14602162162162,4509.0,4530.0,year 2,11.9
"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.44,0.035,0.22699999999999998,0.096,0.498,0.3,0.18100000000000002,0.013999999999999999,0.008,0.642,0.321,0.009000000000000001,0.11641791,0.370149254,0.326368159,0.18706467699999998,16,10,0.33399999999999996,0.174,0.12,0.054000000000000006,0.223,0.287,11.0,26.75,3260.0,1149.0,year 2,23.6
Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.498,0.066,0.18100000000000002,0.078,0.503,0.25,0.14,0.01,0.0,0.968,0.002,0.005,0.117171717,0.412121212,0.317171717,0.153535354,10,9,0.341,0.245,0.099,0.083,0.17800000000000002,0.302,14.0,13.82,2490.0,2240.0,year 2,11.7
"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",Nonspecialized,0.391,0.085,0.267,0.079,0.509,0.233,0.168,0.009000000000000001,0.45399999999999996,0.51,0.006999999999999999,0.0,0.21747765600000002,0.31777557100000003,0.298907646,0.165839126,11,11,0.35700000000000004,0.188,0.156,0.145,0.146,0.358,12.0,37.52,4690.0,3170.0,year 1,26.5
"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Micropolitan adjacent to a large metro area,Manufacturing-dependent,0.46,0.054000000000000006,0.233,0.062,0.503,0.237,0.149,0.049,0.068,0.8640000000000001,0.004,0.012,0.184965381,0.418397626,0.260138477,0.136498516,13,10,0.297,0.245,0.124,0.094,0.16469557362240286,0.35200000000000004,14.0,23.2,3109.0,4410.0,year 1,13.1
"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents",Nonspecialized,0.5770000000000001,0.033,0.154,0.057999999999999996,0.503,0.23199999999999998,0.19,0.046,0.008,0.932,0.013000000000000001,0.004,0.06786427099999999,0.36327345299999997,0.39720558899999997,0.171656687,12,12,0.295,0.17,0.099,0.06,0.156,0.247,13.0,18.25,1409.0,1830.0,year 2,11.7
"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area",Micropolitan adjacent to a small metro area,Nonspecialized,0.349,0.142,0.271,0.084,0.5379999999999999,0.231,0.129,0.0,0.84,0.141,0.009000000000000001,0.0,0.219979818,0.291624622,0.328960646,0.159434914,15,12,0.40700000000000003,0.179,0.154,0.16899999999999998,0.16469557362240286,0.402,11.0,42.19,5200.0,4789.0,year 2,42.7
"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a small metro area,Nonspecialized,0.387,0.087,0.182,0.057,0.509,0.213,0.159,0.021,0.044000000000000004,0.941,0.006999999999999999,0.0,0.17455621300000002,0.40729783,0.27021696300000003,0.147928994,12,13,0.36,0.34700000000000003,0.111,0.078,0.161,0.311,13.0,14.62,3279.0,1800.0,year 2,26.8
"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.494,0.073,0.171,0.052000000000000005,0.517,0.22399999999999998,0.13699999999999998,0.040999999999999995,0.244,0.665,0.0,0.027000000000000003,0.12301587300000001,0.314484127,0.27678571399999996,0.28571428600000004,12,9,0.335,0.177,0.11199999999999999,0.09,0.138,0.292,12.0,15.18,1419.0,1350.0,year 2,16.8
"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.435,0.05,0.273,0.11699999999999999,0.5,0.249,0.16,0.038,0.028999999999999998,0.772,0.1,0.0,0.145748988,0.4048583,0.300607287,0.148785425,12,12,0.36,0.308,0.12300000000000001,0.08199999999999999,0.139,0.33899999999999997,10.0,25.84,3409.0,2810.0,year 2,15.3
"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a large metro area,Recreation,0.381,0.083,0.22699999999999998,0.091,0.485,0.193,0.196,0.087,0.009000000000000001,0.8220000000000001,0.034,0.009000000000000001,0.126357354,0.300098717,0.397828233,0.175715696,9,11,0.327,0.24100000000000002,0.102,0.064,0.158,0.23199999999999998,11.0,17.01,3160.0,3810.0,year 2,15.2
"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore adjacent to a small metro and does not contain a town of at least 2,500 residents",Mining-dependent,0.49200000000000005,0.033,0.314,0.18600000000000003,0.493,0.28600000000000003,0.145,0.524,0.017,0.44799999999999995,0.033,0.006,0.24141414100000003,0.4,0.261616162,0.096969697,16,6,0.299,0.21364882697947216,0.115,0.095,0.16469557362240286,0.282,11.0,21.14602162162162,2694.5,3280.0,year 1,13.5
"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.513,0.061,0.12,0.043,0.515,0.18600000000000003,0.168,0.013999999999999999,0.021,0.932,0.001,0.016,0.120845921,0.449144008,0.21349446100000002,0.216515609,9,11,0.35200000000000004,0.231,0.10800000000000001,0.091,0.172,0.249,12.0,15.83,2150.0,1479.0,year 1,14.8
Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.5710000000000001,0.045,0.16,0.064,0.508,0.214,0.142,0.265,0.03,0.41100000000000003,0.012,0.256,0.11391129,0.166330645,0.269153226,0.450604839,12,6,0.2,0.11,0.073,0.069,0.193,0.152,8.0,4.41,1069.0,1030.0,year 2,8.4
"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Noncore adjacent to a large metro area,Manufacturing-dependent,0.478,0.046,0.209,0.063,0.507,0.24,0.14800000000000002,0.027000000000000003,0.099,0.865,0.004,0.0,0.153306613,0.428857715,0.264529058,0.153306613,11,10,0.29600000000000004,0.301,0.122,0.08,0.16469557362240286,0.353,14.0,30.87,1620.0,1929.0,year 2,14.5
"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Micropolitan adjacent to a small metro area,Federal/State government-dependent,0.40700000000000003,0.084,0.213,0.053,0.499,0.237,0.165,0.035,0.022000000000000002,0.917,0.0,0.008,0.245039683,0.376984127,0.244047619,0.133928571,12,12,0.376,0.204,0.12300000000000001,0.10300000000000001,0.16469557362240286,0.32799999999999996,14.0,24.99,3679.0,2459.0,year 2,21.9
Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.42200000000000004,0.038,0.305,0.11599999999999999,0.493,0.235,0.13699999999999998,0.49700000000000005,0.068,0.429,0.011000000000000001,0.013000000000000001,0.204950495,0.366336634,0.272277228,0.156435644,13,8,0.306,0.21364882697947216,0.096,0.091,0.16469557362240286,0.254,9.0,20.95,3259.0,3519.0,year 1,17.6
